,id,band_id,influencer_id,feedback,score
0,920636,24665,1642,"Bonjour Diogo Ramos,


Merci pour le partage.
Actuellement le titre ne correspond pas à notre ligne de programmation.

N'hésitez pas à nous envoyer vos prochains sons.

Bonne continuation,


André
Le Labo
",0.0
1,920637,24665,118,"Un message touchant, développé sur une onde musicale légère et pleine d'oxygène. Direction musicale trop folklorique cependant bien que des pistes attachantes en résultent ça et là durant votre disque. ",0.0
2,920639,24665,226,Bonjour ! Merci beaucoup pour l'envoi ! On n'est pas totalement séduit par le morceau mais une prochaine fois peut-être :),0.0
3,920640,24665,1603,Bonjour. Merci pour cette fraîcheur et cet hymne à la liberté en ces moments si incertains. Musicalement c(est parfait; orchestration et interprétation sont au top. Je diffuse. Manuel,1.0
4,920641,24665,111,"Salut Diogo, alors c'est un peu éloigné de ce qu'on a l'habitude de partager mais j'ai été séduit par votre univers et le timbre de la voix, on va partager en playlist et j'ai été liker et commenter sur Youtube :)",1.0
5,920642,24665,2024,"Bonjour
Merci le titre est très frais! Mais malheureusement ce n'est pas la ligne editoriale de notre magazine.
Bonne continuation",0.0
6,920643,24665,3113,"Une chanson qui nous fait voyager dans des contrées chaleureuses. Le texte est emprunt de liberté et cela fait du bien ces durs.
Malheureusement la track s'éloigne de notre univers, mais merci pour ce partage qui donne du baume au coeur !",0.0
7,920644,24665,2563,"Bonjour,

Excellent morceau alliant la langue française aux sonorités brésiliennes... Votre morceau donne envie de danser et les gens en ont grandement besoin en ce moment !

Obrigado pour ce voyage à Rio :)

LR",1.0
8,920646,24665,681,"c'est très agréable à écouter, et les mélodies sont belles, mais le morceau ne me semble pas très original ou moderne , désolé ",0.0
9,920647,24665,1297,"C'est vrai qu'est ce qu'on l'aime la liberté waw
Merci pour ce morceau cool !
Pourriez vous me l'envoyer en mp3 sur mon mail (qui bug moins que l'interface de groover) afin de le diffuser sur les bonnes ondes de radio galère (marseille) ? 
Merci !",1.0
10,920648,24665,1406,Hello and thanks for sharing your music with us. Honestly is  beautiful track and we are pretty sure you'll find your way with it. Concerning us is far from what we broadcast on the radio. Basically we are looking for another type of sound to the radio. We wish you the best with it ! Thanks.,0.0
11,920649,24665,1644,"
Hello, we have listened to your track. Unfortunately we did not have the crush. Good continuation!",0.0
12,920650,24665,3212,"Hi! I liked the song, it has a nice beat. The lyrics are also interesting. Unfortunately, I still don't have a list with that mood! Good luck!",0.0
13,920651,24665,2893,"Hello, 

Merci pour ce partage, c'est une chouette chanson. Malheureusement, elle ne correspond pas à la ligne éditoriale de CAPSAO (latino-pop/festif-club). 

A bientôt, ",0.0
14,920653,24665,1672,"Hi

Good News ""Liberté je t'aime"" as been added to the playlist ""TOP CARNAVAL 2021""
Link here - https://spoti.fi/2LXgUl5

Thank You and good luck.",1.0
15,920654,24665,1634,"Hey, jolie voix néanmoins le rythme s'écarte de l'esprit ""chill"" que recherchent nos viewers. À bientôt, j'espère !",0.0
16,920655,24665,1727,"Salut Diogo, nous sommes désolés mais ce titre ne correspond pas vraiment à ce que nous recherchons actuellement. Bonne continuation. Pierre",0.0
17,920656,24665,2417,"Hey, thanks for sending out. We’ll pass on that one unfortunately - really interesting but not a firm yes. Surely on a forthcoming project!
",0.0
18,920657,32921,3068,"Hello
Thanks for the proposal,
The production is good but too mainstream for our channel.
Best regards",0.0
19,920658,32921,1180,some really nice vocals here but overall the melody was too pop oriented for us as well as the lyrics. bassline also felt too fast for the BPM,0.0
20,920659,32921,2441,"Overall i think that the track is good and that you have used good sounds for the production! I like the rythm and the chord progression is nice. The bass line is really nice and groovy! Probably what caught my attention the most. :) Good and catchy vocals as well, i think the lyrics are great and the chorus is good and easy to sing along to. - Big plus! Nice and catchy lead melody as well. Good arrengement of the track and the production sounds good with a clean mix & master. Unfortunately i'm afraid that the track does not really match the style & vibe of my playlist tho. Personally i like the track and i think that it's a good song, but as a playlist curator i must always consider that a song perfectly matches the style & vibe of the playlist i'm curating. Therefore i am kindly declining your submission this time. I wish you the best and good luck with the track nonetheless!",0.0
21,920660,32921,2359,"
Hi thanks for submitting, I really like the production and hooks on here. Unfortunately the song does not quite fit the style of the playlist. Good luck in the future! 
",0.0
22,920661,32921,2432,"I like the song a lot actually! Such a mess that the overall production lacks a lot of clarity in the mix. Maybe think about hiring a mixing engineer next time. I actually am one myself, I will add the link to hire me for a low price on another platform if you want to! :) just send me a mail to get more informations about my services (like vocal tuning etc.). Because that way, the song quality is just not on a sharable level which is really dragging down the actual good overall song.",0.25
23,920662,32921,2820,"Very good, I really liked the music, and the whole production, we will certainly include it in our playlist on Spotify!",1.0
24,920663,16616,2570,"Hey Glass Animals! Big floor filler this one, if Blondie was a product of 2021 she'd sound like this for sure.

The dirty beat under the sleek synths are awesome, great vocals, i really like what you have done here. Will share on Twitter over next few days, bravo!",1.0
25,920664,16616,2401,hello there Glass Spells! I like the synths used in this one. You find some good harmonies. I like your vocal melody as well. Unfortunately the track doesn't quite fit the genre of my playlists but keep going!,0.0
26,920665,16616,2198,"That's a realy good song! When it beggins  you fell like in a 80's thriller movie, and that feeling continues throughout the song, even when the music explodes into something energetic and dancing . Plus, the catchy chorus, makes you want to get up on your feet and start to jump, singing and dancing. ",1.0
27,920666,16616,2973,"This is fun although feels a bit familiar, would be keen to hear more, but we're only covering Scottish linked acts so I guess drop me a shout of you ever tour over here when that's a thing again.",0.0
28,920667,28051,3489,"Thanks for the submission and hope you’re well. Pretty atmospheric track, I like the downtempo beats, crisp synth/string layers and the vocal has a beautifully emotive edge. Overall a contemplative sound but not contemporary enough for my core playlists unfortunately. Best of luck with the rest of your promo campaign.",0.0
29,920668,28051,3532,"Cool tune, but it doesn't fit the the music genre we play on RTB. 
There are great melodic ideas on the song but I think it needs more attention to the sound desing/production and to the English pronunciation.
",0.25
30,920669,28051,3394,"Hey there, Really nice song and vocals but it feels too pop for my playlists to be honest. I wish you the best of luck with the release!",0.0
31,920670,28051,3428,"Hey! Nice strings, but I think the vocal should be more in focus :) Thanks and good luck!",0.0
32,920671,28051,3456,"Dear GENU,

I have to admit I really liked how you changed from spoken to singing ! 
Although ""Come Closer"" is a unique track (in a really nice way), I felt a few things could have been a bit different; if I may :

a) I would have really like for a more controlled low end. Also, maybe cutting also the highs of the bass could have made more space for the guitar body !
b) I would have also really liked for a bit of more chords progressions, as they sound felt a bit repetitive after a while.
c) Moreover, I would have really liked parts to come in go (i.e. 2nd verse if only the bass was present) !

Not a bad track at all, but I felt production and arrangement wise it could have been a bit better.

I'm really sorry I will have to pass on ""Come Closer"" for now.
Can't but thank you for your submission and wish you all the success with this one !",0.0
33,920672,29872,886,"interesting mix of sounds there , really like it  ! please send me the track when it release  , kind regards !  ",1.0
34,920673,29872,260,"Hello,

Your music is interesting but we are not seduced enough for a sharing.

We wish you good luck.

cordially

Trakmix.",0.0
35,920675,29872,1980,"Hi, i listen to your song and i like it but i don't see a Spotify link for your track. Thanks a lot for the interest and good luck with your project! ",0.0
36,920676,29872,737,"Hola socio es un placer saludarte, he escuchado tu música y me parece increíble, beats y sonidos muy versátiles con una agradable armonía, felicidades es una increíble canción y aunque no son justamente los beats que estoy buscando en este momento aprecio tu buena música, saludos y estaré al pendiente o",0.25
37,920677,29872,2662,"Hi,

Some interesting sound designs in this one. Personally I am searching for something more melodic. I thought that also the mix could use some more variation. Especially the drums it feels that it are the same 4-5 drums playing over and over again. Maybe and added top loop, some automation... could help a lot. 

Wish you all the best!

Cheers,

Jens",0.25
38,920678,29872,2367,"Hello Noom,

Thanks for sharing your track, we listened to it and it does not fit with our editorial line so it won't benefit from our networks. 

Good continuation
Teoxane Production",0.0
39,920679,29872,3127,"Hi Noom,
thanks for your submission, your track is cool but it doesn't fit my taste. I feel the main melody is not enough catchy.
Cheers
",0.0
40,920680,31793,199,"Bonjour et merci de votre sollicitation. Je n'ai pas été entièrement emballé par la topline/mélodie de chant ni par le sujet. Je trouve que le tout manque de crédibilité dans le sens où je n'arrive pas à entendre ""l émotion "" voulue . Nostalgie ? Tristesse ? Dérive alcoolique ? J'ai le sentiment d'entendre un titre un peu gratuit donc l'objectif consiste à ""sonner"" plus qu'a parler à l'auditeur.",0.0
41,920681,26386,3113,"Une track super bien produite avec un excellent flow. L'instrumental est vraiment top et le tout est vraiment prometteur.
Celle-ci s'éloigne de ce que nous avons l'habitude de partager, mais nous sommes convaincus qu'elle saura trouver son public.",0.0
42,920682,26386,2460,"Hello,

Le track est vraiment cool je rajoute à ma playlist Pop Urbaine ! 

A très vite,

Chris",1.0
43,920683,26386,1552,"Merci pour le partage 

C’est intéressant , le style est maîtrisé , il y a un bon travail sur la vidéo .

Bonne continuation 

YANNICK TEAM BME ",0.0
44,920684,26386,1528,"Refrain trop chanté pour ce qu'on recherche en priorité. Sinon bon potentiel, morceau intéressant. On garde un œil sur les sorties à venir! Bon courage 💪",0.0
